text,label
Tell me the humidity levels in West Bengal.,sql
What was the total rainfall in Thiruvananthapuram in 2016?,sql
Thanks,general
How to configure temporal intervals for features?,platform
How to monitor model execution status?,platform
Do aliens exist?,general
Find the maximum temperature of Andhra Pradesh in 2017.,sql
Tell me about Feature Engineering.,platform
What is the stock price of Apple?,general
What is love?,general
How to configure a Model Building Config?,platform
Do we have temperature data for Ludhiana?,sql
How to generate a forecast?,platform
You are helpful.,general
How to access the Dashboard?,platform
Hi,general
What is the reservoir level of Karnataka?,sql
How old are you?,general
What is the minimum temperature in Odisha?,sql
Who is the founder of ISI?,general
What is the purpose of Data Management module?,platform
What is the minimum temperature in Andhra Pradesh?,sql
What is Feature Engineering in NPCYF?,platform
What are the key features of NPCYF?,platform
Who won the world cup?,general
Find the maximum temperature of Gujarat in 2023.,sql
What is the minimum temperature in Kerala?,sql
What is the currency of Japan?,general
Who is the Prime Minister?,general
Is there any data for Kharif season in Bangalore?,sql
What is the email for platform administration?,platform
I need advice.,general
Show crop yields for 2011.,sql
Show crop yields for 2017.,sql
How do I log in to the platform?,platform
Who won the world cup?,general
What is the best movie?,general
How do airplanes fly?,general
What is your favorite color?,general
How to use the Data Ingestion tutorial?,platform
What are the key features of NPCYF?,platform
What is the URL for UPAG data?,platform
Give me the area under Maize cultivation in Punjab.,sql
What is the URL for UPAG data?,platform
Thank you,general
What is the best movie?,general
How to clean and reshape datasets?,platform
Who won the world cup?,general
I am bored.,general
List all crops grown in Patna.,sql
Who is the Prime Minister?,general
What is Python?,general
What is Master Data Management?,platform
Who wrote Harry Potter?,general
Tell me a story.,general
How to ingest data into the platform?,platform
What is the date today?,general
How much Jute was produced in 2011?,sql
Show crop yields for 2012.,sql
How to manage users in NPCYF?,platform
How to handle missing values in the dataset?,platform
What are the key features of NPCYF?,platform
How to perform ETL operations?,platform
What was the highest temperature recorded in Visakhapatnam?,sql
"What is the total rainfall for Karnataka in August, 2004?",sql
What is the speed of light?,general
List all crops grown in Thiruvananthapuram.,sql
Give me the area under Rice cultivation in Kolkata.,sql
What is Feature Engineering in NPCYF?,platform
Count of districts in Punjab.,sql
What permissions does a Project Owner have?,platform
See you later,general
How to download data from IndiaStat?,platform
Hello,general
Tell me the humidity levels in Lucknow.,sql
How to contact technical support?,platform
